id,County,income,precipitation,
48291,Liberty County,98.3917594,31.11,
48293,Limestone County,879.3704182,,
48295,Lipscomb County,278.38883,2.8,
48297,Live Oak County,126.2756445,11.8,
48299,Llano County,71.50752416,21.4,
48301,Loving County,103.9400169,,
48303,Lubbock County,179.119604,,
48305,Lynn County,137.346478,12.66,
48313,Madison County,44.8632566,26.29,
48315,Marion County,160.7425211,,
48317,Martin County,143.2688629,5.41,
48319,Mason County,68.83250752,17.11,
48321,Matagorda County,62.58583427,22.98,
48323,Maverick County,410.8024598,8.57,
48307,McCulloch County,139.3217732,12.61,
48309,McLennan County,879.3704182,,
48311,McMullen County,188.0947375,11.65,
48325,Medina County,184.3349316,16.48,
48327,Menard County,95.3753518,,
48329,Midland County,228.8972497,6.89,
48331,Milam County,44.8632566,25.03,
48333,Mills County,507.0036578,19.03,
48335,Mitchell County,,6.33,
48337,Montague County,,18.43,grayson
48339,Montgomery County,101.4363903,23.65,
48341,Moore County,354.7623763,0,
48343,Morris County,431.6850105,22.21,
48345,Motley County,121.6189018,16.1,
48347,Nacogdoches County,121.6189018,28.57,
48349,Navarro County,870.1458593,31.31,
48351,Newton County,192.0931247,,
48353,Nolan County,,18.38,grayson
48355,Nueces County,247.9547,,
48357,Ochiltree County,158.2348897,8.4,
48359,Oldham County,251.1385175,12.54,
48361,Orange County,192.0931247,47.35,
48363,Palo Pinto County,194.0146976,,
48365,Panola County,160.7425211,31.07,
48367,Parker County,,,tarrant
48369,Parmer County,151.5345076,22.87,
48371,Pecos County,395.001784,5,
48373,Polk County,190.0537655,19.59,
48375,Potter County,354.7623763,16.24,
48377,Presidio County,351.8221622,,
48379,Rains County,431.6850105,,
48381,Randall County,227.3075128,15.35,
48383,Reagan County,228.8972497,9.99,
48385,Real County,369.4904801,6.99,
48387,Red River County,,,grayson
48389,Reeves County,163.4175716,3.78,
48391,Refugio County,32.2054557,14.88,
48393,Roberts County,288.4561775,,
48395,Robertson County,44.8632566,,
48397,Rockwall County,492.8315339,12.63,
48399,Runnels County,789.8154703,11.52,
48401,Rusk County,148.7278042,33.36,
48403,Sabine County,148.7278042,32.05,
48405,San Augustine County,148.7278042,15.72,
48407,San Jacinto County,98.3917594,,
48409,San Patricio County,126.2756445,1.52,
48411,San Saba County,68.83250752,17.61,
48413,Schleicher County,275.7315706,9.67,
48415,Scurry County,,10.77,
48417,Shackelford County,,14.74,
48419,Shelby County,121.6189018,40.52,
48421,Sherman County,403.3655077,,
48423,Smith County,431.6850105,41.52,
48425,Somervell County,204.6257854,19.3,
48427,Starr County,28.20087576,12.97,
48429,Stephens County,,18.16,
48431,Sterling County,239.5209061,,
48433,Stonewall County,46.37704665,16.37,
48435,Sutton County,273.1789962,11.92,
48437,Swisher County,189.5680426,18.21,
48439,Tarrant County,,32.47,
48441,Taylor County,239.5209061,16.99,
48443,Terrell County,395.001784,,
48445,Terry County,137.346478,16.82,
48447,Throckmorton County,46.37704665,36.09,
48449,Titus County,431.6850105,,
48451,Tom Green County,46.97110115,,
48453,Travis County,226.3482017,,
48455,Trinity County,190.0537655,,
48457,Tyler County,190.0537655,40.57,
48459,Upshur County,431.6850105,,
48461,Upton County,395.001784,,
48463,Uvalde County,875.1577947,20.16,
48465,Val Verde County,116.8388086,11.53,
48467,Van Zandt County,431.6850105,31.38,
48469,Victoria County,32.2054557,,
48471,Walker County,78.03323892,34.97,
48473,Waller County,10.79236441,,
48475,Ward County,143.421059,,
48477,Washington County,33.92655878,24.37,
48479,Webb County,465.5175725,12.39,
48481,Wharton County,58.88918033,,
48483,Wheeler County,22.47356746,,
48485,Wichita County,14.89654431,,
48487,Wilbarger County,14.89654431,,
48489,Willacy County,28.20087576,11.64,
48491,Williamson County,125.9240205,22.39,
48493,Wilson County,213.4632533,13.41,
48495,Winkler County,103.9400169,0,
48497,Wise County,,21.98,tarrant
48499,Wood County,431.6850105,,
48501,Yoakum County,137.346478,,
48503,Young County,,,
48505,Zapata County,,8.63,
48507,Zavala County,410.8024598,14.9,
